rulename,diff,lwr,upr,padj
拒絶-楽観,16.5,9.388502981,23.61149702,9.05E-13
嫌悪-楽観,16.6,9.488502981,23.71149702,9.06E-13
悲しみ-楽観,16.7,9.588502981,23.81149702,8.84E-13
憤慨-楽観,17.8,10.68850298,24.91149702,8.80E-13
恥辱-楽観,18.6,11.48850298,25.71149702,8.95E-13
悲憤-楽観,19.1,11.98850298,26.21149702,8.78E-13
憎悪-楽観,19.7,12.58850298,26.81149702,8.38E-13
絶望-楽観,23.2,16.08850298,30.31149702,5.77E-13
感傷-自尊心,8,0.888502981,15.11149702,0.008990693
不安-自尊心,8.4,1.288502981,15.51149702,0.003791185
不健全-自尊心,8.7,1.588502981,15.81149702,0.001919271
皮肉-自尊心,8.8,1.688502981,15.91149702,0.001520515
後悔-自尊心,9.4,2.288502981,16.51149702,0.00035432
罪悪感-自尊心,9.5,2.388502981,16.61149702,0.000275337
服従-自尊心,10.2,3.088502981,17.31149702,4.39E-05
攻撃-自尊心,11,3.888502981,18.11149702,4.69E-06
軽蔑-自尊心,11.7,4.588502981,18.81149702,5.92E-07
恐れ-自尊心,12.1,4.988502981,19.21149702,1.74E-07
怒り-自尊心,12.3,5.188502981,19.41149702,9.29E-08
畏怖-自尊心,13.7,6.588502981,20.81149702,9.62E-10
悲観-自尊心,14.7,7.588502981,21.81149702,3.10E-11
拒絶-自尊心,15.3,8.188502981,22.41149702,4.40E-12
嫌悪-自尊心,15.4,8.288502981,22.51149702,3.35E-12
悲しみ-自尊心,15.5,8.388502981,22.61149702,2.60E-12
憤慨-自尊心,16.6,9.488502981,23.71149702,9.06E-13
恥辱-自尊心,17.4,10.28850298,24.51149702,8.86E-13
悲憤-自尊心,17.9,10.78850298,25.01149702,8.86E-13
憎悪-自尊心,18.5,11.38850298,25.61149702,8.63E-13
絶望-自尊心,22,14.88850298,29.11149702,6.02E-13
感傷-運命,8,0.888502981,15.11149702,0.008990693
不安-運命,8.4,1.288502981,15.51149702,0.003791185
不健全-運命,8.7,1.588502981,15.81149702,0.001919271
皮肉-運命,8.8,1.688502981,15.91149702,0.001520515
後悔-運命,9.4,2.288502981,16.51149702,0.00035432
罪悪感-運命,9.5,2.388502981,16.61149702,0.000275337
服従-運命,10.2,3.088502981,17.31149702,4.39E-05
攻撃-運命,11,3.888502981,18.11149702,4.69E-06
軽蔑-運命,11.7,4.588502981,18.81149702,5.92E-07
恐れ-運命,12.1,4.988502981,19.21149702,1.74E-07
怒り-運命,12.3,5.188502981,19.41149702,9.29E-08
畏怖-運命,13.7,6.588502981,20.81149702,9.62E-10
悲観-運命,14.7,7.588502981,21.81149702,3.10E-11
拒絶-運命,15.3,8.188502981,22.41149702,4.40E-12
嫌悪-運命,15.4,8.288502981,22.51149702,3.35E-12
悲しみ-運命,15.5,8.388502981,22.61149702,2.60E-12
憤慨-運命,16.6,9.488502981,23.71149702,9.06E-13
恥辱-運命,17.4,10.28850298,24.51149702,8.86E-13
